feature,importance_mean,importance_std,val_imp_0,val_imp_1,val_imp_2,val_imp_3,val_imp_4
DEF_30_CNT_SOCIAL_CIRCLE,9.13998299473473e-05,8.278395367033607e-05,0.00010130697684740397,-3.7797525708427315e-05,7.434819618612476e-05,0.0002223819740642119,9.675952834742318e-05
FLAG_DOCUMENT_13,9.036649199740676e-05,7.902658888589248e-05,0.00016613517730690308,0.00011969810214917942,6.251375882482257e-05,-5.039788842586823e-05,0.00015388331013199696
FLAG_PHONE,7.929164832189972e-05,6.010800136811415e-05,0.00014331456778149398,5.40244559253944e-05,0.00014917732224695168,-1.0680205662083608e-05,6.062210131774215e-05
DAYS_REGISTRATION,7.695245699861353e-05,9.574827977519973e-05,0.00016901358075638306,-2.9016102440548863e-05,0.0002126743154822197,3.9151254243030564e-06,2.817536577071067e-05
FLAG_DOCUMENT_6,7.667442158358906e-05,4.021402278685393e-05,1.4196086318918333e-05,0.00013896379668576486,6.642532180578531e-05,9.034356757453565e-05,7.344333553294113e-05
FLAG_DOCUMENT_5,5.2220194335639294e-05,5.241119857473472e-05,6.789897245629284e-05,0.00010712623898001539,-4.5289344423382616e-05,4.8310296525189145e-05,8.30548081400817e-05
AMT_REQ_CREDIT_BUREAU_MON,4.7528420233500236e-05,4.2589349108142604e-05,7.807313118324277e-05,-2.805424269125556e-05,8.552714394061134e-05,2.919778705989806e-05,7.289828167500456e-05
AMT_REQ_CREDIT_BUREAU_WEEK,4.24918696494192e-05,5.209881158951494e-05,6.9010435174377e-05,5.552424464572159e-05,8.993388657019263e-05,-5.872688136698834e-05,5.6717663223793124e-05
FLAG_DOCUMENT_15,3.190778927142368e-05,5.183813528047566e-05,8.616685969431437e-05,9.162604724055612e-06,6.526752766311539e-05,5.759758677226223e-05,-5.8655632496629195e-05
REG_REGION_NOT_LIVE_REGION,2.968928167350615e-05,5.5594376019699234e-05,3.4654837568481867e-05,9.603278987013741e-05,-2.7722935444174368e-05,8.452609731224303e-05,-3.9044380939157186e-05
REGION_POPULATION_RELATIVE,2.4315646317463192e-05,2.0687291701904206e-05,4.753284309988448e-05,3.820008182586765e-05,2.491929239689661e-05,-1.3202415671598189e-05,2.4128429936265405e-05
DEF_60_CNT_SOCIAL_CIRCLE,2.326760794795213e-05,1.9903170504284576e-05,3.8341901392846545e-05,4.159152805327526e-05,3.849576463776927e-05,2.8143303776317907e-07,-2.3725873818936094e-06
BASEMENTAREA_AVG,1.9539176768401668e-05,1.1816873904626161e-05,3.206498694019455e-05,3.4523640116912446e-05,1.6127181798553103e-05,4.77367431195308e-06,1.0206400674395155e-05
FLAG_EMAIL,1.8861612033815868e-05,4.433780103826763e-05,2.8666475936800495e-05,-5.43522007288022e-05,5.1309873965954544e-05,7.20290454570005e-05,-3.345134461874011e-06
NONLIVINGAPARTMENTS_MODE,1.6132292857085063e-05,2.62646157776293e-05,-3.4950515150455885e-05,2.1196538922074737e-05,3.8267768252664425e-05,3.2482359981989006e-05,2.3665312279153028e-05
NAME_INCOME_TYPE_Pensioner,1.5704677660899337e-05,2.2989001113221402e-05,-4.7023422677927584e-07,7.4704440539141714e-06,7.63431645545154e-06,2.6148335408038292e-06,6.127402848110641e-05
OBS_30_CNT_SOCIAL_CIRCLE,1.3416042299385645e-05,1.854368751789568e-05,3.391742480352011e-05,-1.5902747857010624e-05,3.243604821623336e-05,1.189499890097423e-05,4.734487433211143e-06
OBS_60_CNT_SOCIAL_CIRCLE,1.2259662863511878e-05,2.1340747301929135e-05,3.682076491651198e-05,-2.026674116450966e-05,3.4245769522822656e-05,9.387038665487069e-06,1.1114823772473414e-06
FLAG_DOCUMENT_8,1.1699771350737187e-05,3.6299494383156726e-05,1.5959464669812462e-06,4.3575809091978e-05,-5.4861630151670226e-05,2.98140897883048e-05,3.8374641558092115e-05
YEARS_BUILD_AVG,1.0938664196724624e-05,3.4328928576502976e-05,4.9431591909954165e-05,1.7032042451625706e-05,-5.231448303755215e-05,1.0313273979822846e-05,3.023089567977255e-05
NAME_INCOME_TYPE_Student,9.085634936667474e-06,1.2226997783851449e-05,5.938488304546574e-06,1.9842810385917176e-06,5.058669794166804e-07,3.7298783615025144e-06,3.326965999927989e-05
